game_id,winner,plies,captures,promotions,epsilon,max_plies,player_policy
1,player,52,19,2,0.1,220,random
2,ai,70,22,2,0.1,220,random
3,player,56,19,2,0.1,220,random
4,player,40,17,1,0.1,220,random
5,player,42,15,2,0.1,220,random
6,player,91,23,5,0.1,220,random
7,player,75,22,3,0.1,220,random
8,player,43,17,2,0.1,220,random
9,ai,58,23,2,0.1,220,random
10,ai,51,18,1,0.1,220,random
11,ai,47,19,2,0.1,220,random
12,ai,44,16,1,0.1,220,random
13,ai,60,19,1,0.1,220,random
14,ai,44,16,2,0.1,220,random
15,ai,52,19,2,0.1,220,random
16,player,42,19,1,0.1,220,random
17,player,48,19,3,0.1,220,random
18,player,44,16,2,0.1,220,random
19,ai,49,18,1,0.1,220,random
20,player,73,22,3,0.1,220,random
